"","country","year","iso_code","population","gdp","cement_co2","cement_co2_per_capita","co2","co2_growth_abs","co2_growth_prct","co2_including_luc","co2_including_luc_growth_abs","co2_including_luc_growth_prct","co2_including_luc_per_capita","co2_including_luc_per_gdp","co2_including_luc_per_unit_energy","co2_per_capita","co2_per_gdp","co2_per_unit_energy","coal_co2","coal_co2_per_capita","consumption_co2","consumption_co2_per_capita","consumption_co2_per_gdp","cumulative_cement_co2","cumulative_co2","cumulative_co2_including_luc","cumulative_coal_co2","cumulative_flaring_co2","cumulative_gas_co2","cumulative_luc_co2","cumulative_oil_co2","cumulative_other_co2","energy_per_capita","energy_per_gdp","flaring_co2","flaring_co2_per_capita","gas_co2","gas_co2_per_capita","ghg_excluding_lucf_per_capita","ghg_per_capita","land_use_change_co2","land_use_change_co2_per_capita","methane","methane_per_capita","nitrous_oxide","nitrous_oxide_per_capita","oil_co2","oil_co2_per_capita","other_co2_per_capita","other_industry_co2","primary_energy_consumption","share_global_cement_co2","share_global_co2","share_global_co2_including_luc","share_global_coal_co2","share_global_cumulative_cement_co2","share_global_cumulative_co2","share_global_cumulative_co2_including_luc","share_global_cumulative_coal_co2","share_global_cumulative_flaring_co2","share_global_cumulative_gas_co2","share_global_cumulative_luc_co2","share_global_cumulative_oil_co2","share_global_cumulative_other_co2","share_global_flaring_co2","share_global_gas_co2","share_global_luc_co2","share_global_oil_co2","share_global_other_co2","total_ghg","total_ghg_excluding_lucf","trade_co2","trade_co2_share","gdp_per_capita","continent"
"43","China",2015,"CHN",1393715456,16710945996800,721.995,0.518,9866.904,-131.716,-1.317,10210.881,-231.011,-2.212,7.326,0.611,0.289,7.08,0.59,0.28,7266.979,5.214,8875.267,6.368,0.531,10831.769,186053.281,240542.719,142417.422,45.569,3586.639,58114.594,25301.852,3870.017,25315.799,2.111,3.854,0.003,380.052,0.273,8.48,7.971,343.976,0.247,1159.87,0.832,549.62,0.394,1328.805,0.953,0.119,165.219,35283.02,49.985,27.748,24.938,49.401,30.448,12.248,10.78,19.871,0.285,1.714,8.106,4.742,49.11,1.005,5.599,6.387,11.139,54.569,11108.86,11818.47,-991.638,-10.05,11990.2135868973,"Asie"
"44","Colombia",2015,"COL",47119728,615339524096,5.551,0.118,95.472,-2.386,-2.438,169.449,-10.337,-5.749,3.596,0.275,0.353,2.026,0.155,0.199,19.144,0.406,126.075,2.676,0.205,157.638,2969.031,17228.807,659.76,58.348,525.242,19744.416,1568.043,NA,10195.549,0.781,1.543,0.033,23.101,0.49,3.719,4.924,73.976,1.57,69.76,1.48,20.57,0.437,46.133,0.979,NA,NA,480.411,0.384,0.268,0.414,0.13,0.443,0.195,0.772,0.092,0.364,0.251,2.754,0.294,NA,0.402,0.34,1.374,0.387,NA,232.02,175.23,30.603,32.054,13059.063585766,"Amérique"
"45","Comoros",2015,"COM",730221,1324576000,0,0,0.18,0.018,11.364,0.143,-0.055,-27.778,0.196,0.108,0.189,0.246,0.136,0.237,0,0,NA,NA,NA,0,3.961,12.388,0,0,0,16.598,3.961,NA,1036.378,0.571,0,0,0,0,0.657,0.74,-0.037,-0.05,0.24,0.329,0.05,0.068,0.18,0.246,NA,NA,0.757,0,0.001,0,0,0,0,0.001,0,0,0,0.002,0.001,NA,0,0,-0.001,0.002,NA,0.54,0.48,NA,NA,1813.93851998231,"Afrique"
"46","Congo",2015,"COG",5064390,30428346368,0.271,0.054,5.662,0.193,3.524,30.028,5.762,23.745,5.929,0.987,1.015,1.118,0.186,0.191,0,0,NA,NA,NA,1.36,69.992,1115.295,0,15.085,3.86,3439.69,49.687,NA,5841.056,0.972,2.211,0.437,0.982,0.194,3.011,4.952,24.366,4.811,7.29,1.439,2.22,0.438,2.198,0.434,NA,NA,29.581,0.019,0.016,0.073,0,0.004,0.005,0.05,0,0.094,0.002,0.48,0.009,NA,0.576,0.014,0.452,0.018,NA,25.08,15.25,NA,NA,6008.29445757534,"Afrique"
"47","Cook Islands",2015,"COK",17720,NA,0,0,0.077,0,0,NA,NA,NA,NA,NA,NA,4.342,NA,0.182,0,0,NA,NA,NA,0,1.938,NA,0,0,0,NA,1.938,NA,23834.23,NA,0,0,0,0,5.079,4.515,NA,NA,0.01,0.564,0,0,0.077,4.342,NA,NA,0.422,0,0,NA,0,0,0,NA,0,0,0,NA,0,NA,0,0,NA,0.001,NA,0.08,0.09,NA,NA,NA,"Océanie"
"48","Costa Rica",2015,"CRI",4895241,65928048640,0.62,0.127,7.406,-0.342,-4.418,10.264,0.867,9.224,2.097,0.156,0.173,1.513,0.112,0.125,0.004,0.001,12.117,2.475,0.184,17.861,213.88,1374.672,0.777,0,0,2044.622,195.243,NA,12095.919,0.898,0,0,0,0,2.925,1.446,2.858,0.584,4.37,0.893,1.84,0.376,6.782,1.385,NA,NA,59.212,0.043,0.021,0.025,0,0.05,0.014,0.062,0,0,0,0.285,0.037,NA,0,0,0.053,0.057,NA,7.08,14.32,4.711,63.616,13467.7840457702,"Amérique"
"49","Cote d'Ivoire",2015,"CIV",23596738,82779693056,0,0,9.555,-0.348,-3.519,33.884,-3.903,-10.328,1.436,0.409,0.674,0.405,0.115,0.19,0,0,13.275,0.563,0.16,0,280.139,12643.099,0,0.668,55.298,12362.959,224.174,NA,2129.532,0.607,0.149,0.006,3.858,0.164,0.96,2.089,24.329,1.031,7.1,0.301,3.23,0.137,5.547,0.235,NA,NA,50.25,0,0.027,0.083,0,0,0.018,0.567,0,0.004,0.026,1.725,0.042,NA,0.039,0.057,0.452,0.047,NA,49.29,22.65,3.72,38.933,3508.09900317578,"Afrique"
"50","Croatia",2015,"HRV",4254821,78221434880,1.169,0.275,17.825,0.143,0.81,16.689,-0.077,-0.457,3.922,0.213,0.183,4.189,0.228,0.196,2.376,0.558,21.501,5.053,0.275,72.744,1011.092,1756.13,131.873,17.162,175.559,1065.894,608.888,4.865,21392.668,1.164,0.25,0.059,4.461,1.048,5.314,4.961,-1.136,-0.267,3.74,0.879,1.84,0.432,9.419,2.214,0.035,0.149,91.022,0.081,0.05,0.041,0.016,0.204,0.067,0.079,0.018,0.107,0.084,0.149,0.114,0.062,0.065,0.066,-0.021,0.079,0.049,21.11,22.61,3.676,20.625,18384.1893419253,"Europe"
"51","Cuba",2015,"CUB",11339888,88467243008,0.67,0.059,29.469,1.86,6.739,18.037,0.138,0.773,1.591,0.204,0.141,2.599,0.333,0.231,0.022,0.002,NA,NA,NA,55.633,1496.1,4586.062,11.234,0.518,31.038,4112.474,1397.677,NA,11256.649,1.443,0.154,0.014,2.389,0.211,3.983,2.867,-11.432,-1.008,11.77,1.038,3.79,0.334,26.234,2.313,NA,NA,127.649,0.046,0.083,0.044,0,0.156,0.098,0.206,0.002,0.003,0.015,0.574,0.262,NA,0.04,0.035,-0.212,0.22,NA,32.51,45.17,NA,NA,7801.42123167354,"Amérique"
"52","Curacao",2015,"CUW",169588,NA,0,0,6.925,0.517,8.062,6.962,0.517,8.016,41.05,NA,NA,40.834,NA,NA,0,0,NA,NA,NA,0,555.769,560.056,0,0,0.275,4.617,555.494,NA,NA,NA,0,0,0.275,1.62,NA,NA,0.037,0.216,NA,NA,NA,NA,6.65,39.214,NA,NA,NA,0,0.019,0.017,0,0,0.037,0.025,0,0,0,0.001,0.104,NA,0,0.004,0.001,0.056,NA,NA,NA,NA,NA,NA,"Amérique"
"53","Cyprus",2015,"CYP",1187286,24862126080,0.877,0.739,6.973,0.021,0.299,5.727,-1.811,-24.026,4.824,0.23,0.196,5.873,0.28,0.239,0.015,0.012,6.708,5.65,0.27,28.881,257.015,211.654,3.691,0,0.027,69.579,223.204,1.212,24580.83,1.174,0,0,0,0,6.915,6.654,-1.246,-1.049,0.71,0.598,0.35,0.295,6.07,5.112,0.009,0.011,29.184,0.061,0.02,0.014,0,0.081,0.017,0.009,0.001,0,0,0.01,0.042,0.015,0,0,-0.023,0.051,0.004,7.9,8.21,-0.265,-3.803,20940.3008879074,"Asie"
"54","Czechia",2015,"CZE",10523801,296649588736,1.558,0.148,104.996,0.767,0.736,92.318,1.426,1.569,8.772,0.311,0.196,9.977,0.354,0.223,64.296,6.11,104.762,9.955,0.353,138.921,11466.244,11253.549,9378.174,8.237,585.917,-103.435,1312.412,42.582,44727.555,1.587,0.192,0.018,15.909,1.512,11.446,11.102,-12.677,-1.205,12.76,1.212,5.55,0.527,21.35,2.029,0.161,1.69,470.704,0.108,0.295,0.225,0.437,0.391,0.755,0.504,1.309,0.051,0.28,-0.014,0.246,0.54,0.05,0.234,-0.235,0.179,0.558,116.83,120.46,-0.234,-0.223,28188.4452904421,"Europe"
"55","Democratic Republic of Congo",2015,"COD",78656904,72089763840,0.155,0.002,2.793,-1.838,-39.695,615.633,-170.419,-21.68,7.827,8.54,16.832,0.036,0.039,0.076,0,0,NA,NA,NA,11.411,180.75,20061.32,45.929,0,0.249,21155.092,123.16,NA,465.004,0.507,0,0,0.004,0,0.668,8.644,612.841,7.791,45.32,0.576,28.42,0.361,2.634,0.033,NA,NA,36.576,0.011,0.008,1.504,0,0.032,0.012,0.899,0.006,0,0,2.951,0.023,NA,0,0,11.379,0.022,NA,679.91,52.54,NA,NA,916.509043376536,"Afrique"
"56","Denmark",2015,"DNK",5677795,253683007488,0.932,0.164,35.228,-2.35,-6.253,36.217,-2.02,-5.283,6.379,0.143,0.182,6.205,0.139,0.177,7.242,1.276,49.224,8.67,0.194,74.514,3919.735,5116.819,1814.174,17.537,242.124,1198.568,1758.29,13.097,35109.465,0.786,0.247,0.044,6.911,1.217,8.433,8.089,0.989,0.174,8.2,1.444,5.26,0.926,19.582,3.449,0.055,0.313,199.344,0.064,0.099,0.088,0.049,0.209,0.258,0.229,0.253,0.11,0.116,0.167,0.33,0.166,0.064,0.102,0.018,0.164,0.103,45.93,47.88,13.996,39.73,44679.8462234019,"Europe"
"57","Djibouti",2015,"DJI",1006266,2435148032,0.054,0.054,0.432,0.043,11.16,0.505,0.043,9.388,0.502,0.207,0.151,0.429,0.177,0.129,0,0,NA,NA,NA,0.179,16.949,20.979,0,0,0,4.03,16.77,NA,3314.635,1.37,0,0,0,0,1.391,1.391,0.073,0.073,0.65,0.646,0.26,0.258,0.377,0.375,NA,NA,3.335,0.004,0.001,0.001,0,0.001,0.001,0.001,0,0,0,0.001,0.003,NA,0,0,0.001,0.003,NA,1.4,1.4,NA,NA,2419.98440968889,"Afrique"
"58","Dominica",2015,"DMA",70027,689606016,0,0,0.176,0,0,0.103,0.037,55.556,1.465,0.149,0.126,2.511,0.255,0.216,0,0,NA,NA,NA,0,4.008,3.386,0,0,0,1.392,4.008,NA,11610.774,1.179,0,0,0,0,3.57,3.427,-0.073,-1.046,0.04,0.571,0.02,0.286,0.176,2.511,NA,NA,0.813,0,0,0,0,0,0,0,0,0,0,0,0.001,NA,0,0,-0.001,0.001,NA,0.24,0.25,NA,NA,9847.71610950062,"Amérique"
"59","Dominican Republic",2015,"DOM",10405832,138611523584,2.009,0.193,23.495,1.694,7.77,22.176,1.401,6.743,2.131,0.16,0.228,2.258,0.169,0.241,2.89,0.278,36.145,3.473,0.261,41.07,618.068,1402.164,35.588,0,15.909,1484.506,525.5,NA,9354.642,0.702,0,0,2.026,0.195,3.507,3.397,-1.319,-0.127,8.75,0.841,3.13,0.301,16.57,1.592,NA,NA,97.343,0.139,0.066,0.054,0.02,0.115,0.041,0.063,0.005,0,0.008,0.207,0.098,NA,0,0.03,-0.024,0.139,NA,35.35,36.49,12.65,53.842,13320.5613529029,"Amérique"
"60","Ecuador",2015,"ECU",16195904,173044858880,2.311,0.143,41.276,-2.456,-5.615,51.975,-22.424,-30.141,3.209,0.3,0.276,2.549,0.239,0.219,0,0,47.339,2.923,0.274,55.053,1015.106,4408.703,0,54.971,26.179,4044.067,878.903,NA,11610.723,1.087,1.988,0.123,1.535,0.095,4.575,5.629,10.699,0.661,27.06,1.671,4.86,0.3,35.442,2.188,NA,NA,188.046,0.16,0.116,0.127,0,0.155,0.067,0.198,0,0.343,0.013,0.564,0.165,NA,0.518,0.023,0.199,0.297,NA,91.16,74.09,6.064,14.691,10684.4828717187,"Amérique"
"61","Egypt",2015,"EGY",97723792,1058643968000,21.648,0.222,224.48,-2.42,-1.066,225.029,-3.775,-1.65,2.303,0.213,0.232,2.297,0.212,0.231,1.345,0.014,247.173,2.529,0.233,425.242,5182.739,5493.959,128.064,40.236,1466.759,354.016,3122.439,NA,9943.54,0.918,5.312,0.054,84.151,0.861,3.248,3.257,0.55,0.006,65.54,0.671,22.37,0.229,112.023,1.146,NA,NA,971.72,1.499,0.631,0.55,0.009,1.195,0.341,0.246,0.018,0.251,0.701,0.049,0.585,NA,1.385,1.24,0.01,0.939,NA,318.29,317.38,22.693,10.109,10833.0217885937,"Afrique"
"62","El Salvador",2015,"SLV",6231072,50319724544,0.384,0.062,6.668,0.517,8.399,6.375,1.396,28.039,1.023,0.127,0.165,1.07,0.133,0.173,0.004,0.001,8.609,1.382,0.171,16.086,199.853,373.197,0.081,0,0,642.299,183.686,NA,6201.925,0.768,0,0,0,0,1.961,2.139,-0.293,-0.047,3.71,0.595,1.27,0.204,6.28,1.008,NA,NA,38.645,0.027,0.019,0.016,0,0.045,0.013,0.017,0,0,0,0.09,0.034,NA,0,0,-0.005,0.053,NA,13.33,12.22,1.941,29.116,8075.61275876767,"Amérique"
"63","Equatorial Guinea",2015,"GNQ",1346974,28026101760,0,0,7.033,-0.639,-8.325,7.363,0.167,2.326,5.467,0.263,0.261,5.222,0.251,0.249,0,0,NA,NA,NA,0,111.004,255.109,0,50.603,39.961,273.078,20.439,NA,20936.717,1.006,1.087,0.807,4.646,3.449,10.594,13.438,0.33,0.245,7.42,5.509,0.04,0.03,1.301,0.966,NA,NA,28.201,0,0.02,0.018,0,0,0.007,0.011,0,0.316,0.019,0.038,0.004,NA,0.283,0.068,0.006,0.011,NA,18.1,14.27,NA,NA,20806.7132401962,"Afrique"
"64","Eritrea",2015,"ERI",3340005,NA,0.077,0.023,0.631,0,-0.027,3.892,2.235,134.849,1.165,NA,1.652,0.189,NA,0.268,0,0,NA,NA,NA,0.788,14.184,54.342,0,0,0,162.169,13.396,NA,705.39,NA,0,0,0,0,1.775,1.889,3.261,0.976,3.57,1.069,1.67,0.5,0.554,0.166,NA,NA,2.356,0.005,0.002,0.01,0,0.002,0.001,0.002,0,0,0,0.023,0.003,NA,0,0,0.061,0.005,NA,6.31,5.93,NA,NA,NA,"Afrique"
"65","Estonia",2015,"EST",1314658,31485411328,0.206,0.156,15.847,-3.013,-15.978,14.271,-2.794,-16.371,10.856,0.453,0.209,12.054,0.503,0.232,11.263,8.567,18.056,13.734,0.573,21.056,1554.03,1586.419,1112.034,2.842,67.946,116.845,348.333,1.82,52040.848,2.173,0,0,0.915,0.696,13.966,9.288,-1.576,-1.198,1.18,0.898,1.42,1.08,3.397,2.584,0.05,0.066,68.416,0.014,0.045,0.035,0.077,0.059,0.102,0.071,0.155,0.018,0.032,0.016,0.065,0.023,0,0.013,-0.029,0.028,0.022,12.21,18.36,2.209,13.939,23949.5072695713,"Europe"
"66","Eswatini",2015,"SWZ",1133941,8445665792,0,0,0.868,0.099,12.857,1.052,-0.011,-1.034,0.927,0.125,0.178,0.766,0.103,0.147,0.136,0.12,NA,NA,NA,0,35.647,152.858,19.598,0,0,237.464,16.049,NA,5213.869,0.7,0,0,0,0,2.169,2.064,0.183,0.162,1.26,1.111,0.38,0.335,0.733,0.646,NA,NA,5.912,0,0.002,0.003,0.001,0,0.002,0.007,0.003,0,0,0.033,0.003,NA,0,0,0.003,0.006,NA,2.34,2.46,NA,NA,7448.06457478828,"Afrique"
"67","Ethiopia",2015,"ETH",102471896,152372019200,2.906,0.028,12.696,0.68,5.658,180.214,63.92,54.965,1.759,1.183,2.458,0.124,0.083,0.173,1.092,0.011,11.44,0.112,0.075,19.306,181.804,4926.721,4.653,0,0,8502.935,157.846,NA,715.478,0.481,0,0,0,0,1.336,1.653,167.518,1.635,79.4,0.775,44.96,0.439,8.698,0.085,NA,NA,73.316,0.201,0.036,0.44,0.007,0.054,0.012,0.221,0.001,0,0,1.186,0.03,NA,0,0,3.11,0.073,NA,169.34,136.86,-1.257,-9.898,1486.96398864329,"Afrique"
"68","Faeroe Islands",2015,"FRO",48848,NA,0,0,0.608,0.011,1.84,0.645,-0.026,-3.825,13.201,NA,0.189,12.451,NA,0.178,0,0,NA,NA,NA,0,27.154,28.766,0.238,0,0,26.417,26.916,NA,69815.625,NA,0,0,0,0,NA,NA,0.037,0.75,NA,NA,NA,NA,0.608,12.451,NA,NA,3.41,0,0.002,0.002,0,0,0.002,0.001,0,0,0,0.004,0.005,NA,0,0,0.001,0.005,NA,NA,NA,NA,NA,NA,"Europe"
"69","Falkland Islands",2015,"FLK",3431,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,20.115,NA,NA,57968.594,NA,NA,NA,NA,NA,NA,NA,0.11,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.199,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.003,NA,NA,NA,NA,0.002,NA,NA,NA,NA,NA,NA,NA,"Amérique"
"70","Fiji",2015,"FJI",917209,NA,0,0,1.242,0.062,5.28,1.425,0.062,4.57,1.554,NA,0.189,1.354,NA,0.165,0,0,NA,NA,NA,1.267,41.643,93.782,1.886,0,0.004,71.411,38.486,NA,8219.832,NA,0,0,0,0,2.181,-0.589,0.183,0.2,0.37,0.403,0.19,0.207,1.242,1.354,NA,NA,7.539,0,0.003,0.003,0,0.004,0.003,0.004,0,0,0,0.01,0.007,NA,0,0,0.003,0.01,NA,-0.54,2,NA,NA,NA,"Océanie"
"71","Finland",2015,"FIN",5479457,201843998720,0.462,0.084,44.099,-3.497,-7.347,60.037,-2.251,-3.614,10.957,0.297,0.182,8.048,0.218,0.134,16.841,3.073,55.151,10.065,0.273,45.083,2970.893,5836.727,1165.047,2.133,215.926,3029.359,1518.458,24.247,60087.457,1.631,0.109,0.02,4.723,0.862,9.919,-0.051,15.938,2.909,5.13,0.936,4.96,0.905,21.281,3.884,0.125,0.684,329.247,0.032,0.124,0.147,0.114,0.127,0.196,0.262,0.163,0.013,0.103,0.423,0.285,0.308,0.028,0.07,0.296,0.178,0.226,-0.28,54.35,11.052,25.062,36836.4965214619,"Europe"
"72","France",2015,"FRA",63809768,2453072773120,6.409,0.1,331.58,4.473,1.367,315.642,11.288,3.709,4.947,0.129,0.112,5.196,0.135,0.118,37.741,0.591,423.876,6.643,0.173,661.625,37208.957,32294.633,18886.404,156.177,3148.257,-4593.52,14237.499,118.997,44008.406,1.145,2.858,0.045,81.391,1.276,6.789,5.832,-15.938,-0.25,63.12,0.989,39.15,0.614,199.148,3.121,0.063,4.033,2808.166,0.444,0.932,0.771,0.257,1.86,2.45,1.447,2.635,0.976,1.504,-0.641,2.668,1.51,0.745,1.199,-0.296,1.669,1.332,372.12,433.22,92.296,27.835,38443.5306694737,"Europe"
"73","French Guiana",2015,"GUF",257033,NA,0,0,0.7,0.011,1.55,1.726,-0.173,-9.085,6.716,NA,0.364,2.725,NA,0.148,0,0,NA,NA,NA,0,24.038,67.786,0,0,0,43.748,24.038,NA,18447.777,NA,0,0,0,0,NA,NA,1.026,3.991,NA,NA,NA,NA,0.7,2.725,NA,NA,4.742,0,0.002,0.004,0,0,0.002,0.003,0,0,0,0.006,0.005,NA,0,0,0.019,0.006,NA,NA,NA,NA,NA,NA,"Amérique"
"74","French Polynesia",2015,"PYF",291796,NA,0,0,0.846,-0.004,-0.431,NA,NA,NA,NA,NA,NA,2.901,NA,0.178,0,0,NA,NA,NA,0,25.359,NA,0,0,0,NA,25.359,NA,16278.416,NA,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,0.846,2.901,NA,NA,4.75,0,0.002,NA,0,0,0.002,NA,0,0,0,NA,0.005,NA,0,0,NA,0.007,NA,NA,NA,NA,NA,NA,"Océanie"
"75","Gabon",2015,"GAB",2028524,35035176960,0.077,0.038,6.476,0.106,1.667,22.414,10.475,87.742,11.049,0.64,1.093,3.192,0.185,0.316,0,0,NA,NA,NA,2.955,238.336,906.136,0,126.668,14.871,2162.896,93.841,NA,10108.493,0.585,2.932,1.445,1.019,0.502,6.852,10.052,15.938,7.857,6.23,3.071,0.62,0.306,2.448,1.207,NA,NA,20.505,0.005,0.018,0.055,0,0.008,0.016,0.041,0,0.791,0.007,0.302,0.018,NA,0.764,0.015,0.296,0.021,NA,20.39,13.9,NA,NA,17271.2656887471,"Afrique"
"76","Gambia",2015,"GMB",2253137,3514848000,0,0,0.583,0.077,15.217,0.729,0.04,5.851,0.324,0.207,0.315,0.259,0.166,0.251,0,0,NA,NA,NA,0,11.303,61.427,0,0,0,117.468,11.303,NA,1028.859,0.66,0,0,0,0,1.043,1.278,0.147,0.065,1.39,0.617,0.34,0.151,0.583,0.259,NA,NA,2.318,0,0.002,0.002,0,0,0.001,0.003,0,0,0,0.016,0.002,NA,0,0,0.003,0.005,NA,2.88,2.35,NA,NA,1559.97970829115,"Afrique"
"77","Georgia",2015,"GEO",3771135,52238069760,0.671,0.178,9.756,0.817,9.146,-0.173,0.195,-52.903,-0.046,-0.003,-0.003,2.587,0.187,0.143,1.111,0.295,11.805,3.13,0.226,14.597,608.689,235.4,76.788,2.78,221.806,-321.589,292.717,NA,18088.293,1.306,0.006,0.002,4.75,1.26,4.548,4.548,-9.929,-2.633,5.52,1.464,2.27,0.602,3.218,0.853,NA,NA,68.213,0.046,0.027,0,0.008,0.041,0.04,0.011,0.011,0.017,0.106,-0.045,0.055,NA,0.002,0.07,-0.184,0.027,NA,17.15,17.15,2.049,21.002,13852.0816040794,"Asie"
"78","Germany",2015,"DEU",82073232,3672553029632,12.626,0.154,795.557,3.301,0.417,782.256,2.275,0.292,9.531,0.213,0.207,9.693,0.217,0.211,341.018,4.155,893.686,10.889,0.243,1127.43,88928.852,87585.562,63062.293,81.305,6153.238,-1103.78,18260.029,244.555,46037.191,1.029,2.374,0.029,157.455,1.918,10.282,9.926,-13.3,-0.162,52.72,0.642,36.74,0.448,273.408,3.331,0.106,8.676,3778.421,0.874,2.237,1.911,2.318,3.169,5.854,3.925,8.799,0.508,2.94,-0.154,3.422,3.103,0.619,2.32,-0.247,2.292,2.866,814.64,843.88,98.13,12.335,44747.2694828443,"Europe"
"79","Ghana",2015,"GHA",28870946,99411263488,1.484,0.051,16.026,1.051,7.019,18.518,-1.294,-6.531,0.641,0.186,0.225,0.555,0.161,0.195,0,0,23.443,0.812,0.236,25.403,291.789,2824.346,4.164,0.693,7.526,3960.857,254.003,NA,2847.021,0.827,0.245,0.008,2.44,0.085,1.095,2.114,2.492,0.086,9.72,0.337,5.19,0.18,11.857,0.411,NA,NA,82.196,0.103,0.045,0.045,0,0.071,0.019,0.127,0.001,0.004,0.004,0.553,0.048,NA,0.064,0.036,0.046,0.099,NA,61.02,31.61,7.416,46.277,3443.29775297283,"Afrique"
"80","Greece",2015,"GRC",10806644,241242128384,3.467,0.321,74.928,-3.712,-4.72,55.032,-6.057,-9.915,5.092,0.228,0.178,6.933,0.311,0.243,29.949,2.771,56.568,5.235,0.234,262.402,3737.013,5281.096,1524.359,0.37,109.025,1924.15,1818.614,22.243,28529.623,1.278,0.004,0,6.035,0.558,8.185,8.314,-19.896,-1.841,9.93,0.919,4.49,0.415,34.984,3.237,0.045,0.489,308.309,0.24,0.211,0.134,0.204,0.738,0.246,0.237,0.213,0.002,0.052,0.268,0.341,0.282,0.001,0.089,-0.369,0.293,0.162,89.85,88.45,-18.36,-24.503,22323.5010225191,"Europe"
"81","Greenland",2015,"GRL",55916,NA,0,0,0.524,0.003,0.572,0.524,0.003,0.572,9.368,NA,0.145,9.368,NA,0.145,0,0,NA,NA,NA,0,30.367,30.367,2.175,0,0,0,28.193,NA,64502.316,NA,0,0,0,0,NA,NA,0,0,NA,NA,NA,NA,0.524,9.368,NA,NA,3.607,0,0.001,0.001,0,0,0.002,0.001,0,0,0,0,0.005,NA,0,0,0,0.004,NA,NA,NA,NA,NA,NA,"Amérique"
"82","Grenada",2015,"GRD",118994,NA,0,0,0.26,0.026,10.938,0.15,0.026,20.588,1.262,NA,0.127,2.186,NA,0.22,0,0,NA,NA,NA,0,6.782,4.034,0,0,0,-0.55,6.782,NA,9958.878,NA,0,0,0,0,19.245,19.245,-0.11,-0.924,2,16.808,0.01,0.084,0.26,2.186,NA,NA,1.185,0,0.001,0,0,0,0,0,0,0,0,0,0.001,NA,0,0,-0.002,0.002,NA,2.29,2.29,NA,NA,NA,"Amérique"
"83","Guadeloupe",2015,"GLP",399094,NA,0,0,2.463,0.038,1.55,2.61,-0.256,-8.917,6.54,NA,0.289,6.172,NA,0.273,0.451,1.13,NA,NA,NA,0,71.589,87.381,7.92,0,0,15.792,63.669,NA,22630.977,NA,0,0,0,0,NA,NA,0.147,0.367,NA,NA,NA,NA,2.013,5.043,NA,NA,9.032,0,0.007,0.006,0.003,0,0.005,0.004,0.001,0,0,0.002,0.012,NA,0,0,0.003,0.017,NA,NA,NA,NA,NA,NA,"Amérique"
"84","Guatemala",2015,"GTM",16001105,116637179904,1.423,0.089,15.952,2.125,15.367,34.199,4.909,16.762,2.137,0.293,0.429,0.997,0.137,0.2,4.012,0.251,13.432,0.839,0.115,28.046,351.426,3136.103,24.164,0.152,0.44,3510.552,298.624,NA,4986.234,0.684,0.064,0.004,0,0,1.924,2.415,18.247,1.14,9.49,0.593,4.76,0.297,10.453,0.653,NA,NA,79.785,0.099,0.045,0.084,0.027,0.079,0.023,0.141,0.003,0.001,0,0.49,0.056,NA,0.017,0,0.339,0.088,NA,38.64,30.79,-2.519,-15.794,7289.32032531503,"Amérique"
"85","Guernsey",2015,"GGY",61657,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.037,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,"Europe"
"86","Guinea",2015,"GIN",11626003,14900875264,0,0,2.451,0.286,13.198,12.197,-3.122,-20.378,1.049,0.819,0.896,0.211,0.165,0.18,0,0,2.407,0.207,0.162,0,69.455,4753.696,0,0,0,4684.241,69.455,NA,1171.232,0.914,0,0,0,0,1.965,2.949,9.746,0.838,13.96,1.201,5.64,0.485,2.451,0.211,NA,NA,13.617,0,0.007,0.03,0,0,0.005,0.213,0,0,0,0.653,0.013,NA,0,0,0.181,0.021,NA,34.28,22.85,-0.045,-1.824,1281.68513839193,"Afrique"
"87","Guinea-Bissau",2015,"GNB",1788931,2372699648,0,0,0.278,0.018,7.042,0.572,0.018,3.311,0.32,0.241,0.349,0.156,0.117,0.17,0,0,NA,NA,NA,0,8.574,200.787,0,0,0,334.78,8.574,NA,914.877,0.69,0,0,0,0,1.33,2.426,0.293,0.164,1.44,0.805,1.01,0.565,0.278,0.156,NA,NA,1.637,0,0.001,0.001,0,0,0.001,0.009,0,0,0,0.047,0.002,NA,0,0,0.005,0.002,NA,4.34,2.38,NA,NA,1326.32261836818,"Afrique"
